Number of shared subject-object,48039133
Property Link Count,4995
Class Link Count,8258
Number of triples,1040358853
Number of objects,206201072
Number of predicates,68687
AllDifferent Links,0
Linked Individuals,319988690
DifferentFrom Links,103439
Number of subjects,58167851
Undeclared Classes,2443
Undeclared Properties,8051
SameAs Links,40636493
Declared Properties,121997
Reused Individuals,252928744
Unique Individuals,28136995
Declared Classes,754
Instance Typing Link Count,100022186
SeeAlso Links,324659
